id,user_id,worker_code,phone,department,position,training_percent,status,created_at,updated_at
"30029","30029","3834","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:06","2026-07-22 08:37:00"
"30030","30030","3840","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:08","2026-07-22 08:37:00"
"30031","30031","3862","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:09","2026-07-22 08:37:00"
"30032","30032","3888","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:12","2026-07-22 08:37:00"
"30033","30033","3892","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:15","2026-07-22 08:37:00"
"30034","30034","3901","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:17","2026-07-22 08:37:00"
"30035","30035","3919","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:18","2026-07-22 08:37:00"
"30036","30036","3922","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:20","2026-07-22 08:37:00"
"30037","30037","3930","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:22","2026-07-22 08:37:00"
"30038","30038","3960","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:24","2026-07-22 08:37:00"
"30039","30039","3964","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:25","2026-07-22 08:37:00"
"30040","30040","3968","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:27","2026-07-22 08:37:00"
"30041","30041","3971","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:29","2026-07-22 08:37:00"
"30042","30042","4017","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:31","2026-07-22 08:37:00"
"30043","30043","4019","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:33","2026-07-22 08:37:00"
"30044","30044","4033","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:35","2026-07-22 08:37:00"
"30045","30045","4039","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:38","2026-07-22 08:37:00"
"30046","30046","4041","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:39","2026-07-22 08:37:00"
"30047","30047","4058","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:41","2026-07-22 08:37:00"
"30048","30048","4079","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:44","2026-07-22 08:37:00"
"30049","30049","4083","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:46","2026-07-22 08:37:00"
"30050","30050","4093","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:48","2026-07-22 08:37:00"
"30051","30051","4096","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:49","2026-07-22 08:37:00"
"30052","30052","4102","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:51","2026-07-22 08:37:00"
"30053","30053","4110","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:53","2026-07-22 08:37:00"
"30054","30054","4114","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:54","2026-07-22 08:37:00"
"30055","30055","4117","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:56","2026-07-22 08:37:00"
"30056","30056","4152","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:58","2026-07-22 08:37:00"
"30057","30057","4162","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:00","2026-07-22 08:37:00"
"30058","30058","4164","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:01","2026-07-22 08:37:00"
"30059","30059","4166","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:03","2026-07-22 08:37:00"
"30060","30060","4173","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:05","2026-07-22 08:37:00"
"30061","30061","4185","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:07","2026-07-22 08:37:00"
"30062","30062","4197","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:09","2026-07-22 08:37:00"
"30063","30063","4219","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:10","2026-07-23 05:04:09"
"30064","30064","4220","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:12","2026-07-22 08:37:00"
"30065","30065","4335","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:15","2026-07-22 08:37:00"
"30066","30066","2625","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:16","2026-07-22 08:37:00"
"30067","30067","4342","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:18","2026-07-22 08:37:00"
"30068","30068","4317","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:20","2026-07-22 08:37:00"
"30069","30069","4318","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:22","2026-07-22 08:37:00"
"30070","30070","4344","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:23","2026-07-22 08:37:00"
"30071","30071","4351","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:26","2026-07-22 08:37:00"
"30072","30072","4352","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:27","2026-07-22 08:37:00"
"30073","30073","4353","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:28","2026-07-22 08:37:00"
"30074","30074","4360","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:30","2026-07-22 08:37:00"
"30075","30075","1448","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:13:33","2026-07-22 08:37:00"
"60001","60001","1111","","Sản xuất","Công nhân","90.00","inactive","2026-07-21 07:33:11","2026-07-22 08:36:58"
"90001","90001","4243","","Sản xuất","Công nhân","100.00","inactive","2026-07-22 05:11:18","2026-07-22 09:20:01"
"120001","120001","1020","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120002","120002","1094","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120003","120003","1134","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120005","120005","1253","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120006","120006","1328","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120008","120008","1443","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120009","120009","1445","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120013","120013","1562","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120014","120014","1571","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120015","120015","1572","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120016","120016","1594","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120017","120017","1610","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120018","120018","1656","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120019","120019","1677","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120020","120020","1777","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120023","120023","1933","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120024","120024","1963","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120027","120027","2284","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120028","120028","2327","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120030","120030","2399","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120031","120031","2516","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120032","120032","2545","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120035","120035","2631","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120036","120036","2649","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120037","120037","2756","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120038","120038","2794","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120039","120039","2837","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120040","120040","2849","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120041","120041","2851","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120043","120043","2866","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120044","120044","2890","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120045","120045","2895","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120046","120046","2938","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120048","120048","2960","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120049","120049","2984","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120050","120050","3046","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120051","120051","3111","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120052","120052","3123","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120053","120053","3171","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120054","120054","3187","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120055","120055","3234","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120057","120057","3258","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120058","120058","3263","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120062","120062","3303","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120063","120063","3337","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120066","120066","3352","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120067","120067","3353","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120068","120068","3379","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120069","120069","3380","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120070","120070","3499","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120071","120071","3526","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120072","120072","357","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120077","120077","3622","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120078","120078","3637","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120081","120081","3668","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120083","120083","3745","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120084","120084","3751","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120086","120086","3758","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120087","120087","3798","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120088","120088","3799","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120092","120092","3854","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120097","120097","3913","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120100","120100","3929","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120102","120102","3959","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120107","120107","3990","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120108","120108","3996","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120111","120111","4024","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120112","120112","4031","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120113","120113","4032","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120117","120117","4048","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120119","120119","4070","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120120","120120","4072","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120121","120121","4073","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120122","120122","4076","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120125","120125","4091","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120131","120131","4115","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120132","120132","4116","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120134","120134","4124","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120135","120135","4126","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120137","120137","4155","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120138","120138","416","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120143","120143","4174","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120148","120148","4230","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120149","120149","4238","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120150","120150","4241","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120151","120151","4249","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120152","120152","4257","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120153","120153","4279","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120154","120154","4280","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120155","120155","4284","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120156","120156","4291","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120157","120157","4307","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120158","120158","4314","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120161","120161","4325","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120162","120162","4333","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120165","120165","4343","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120167","120167","4346","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120172","120172","465","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120173","120173","489","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120174","120174","525","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120175","120175","526","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120176","120176","591","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120178","120178","632","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120179","120179","640","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120180","120180","641","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120181","120181","643","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120182","120182","644","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120183","120183","646","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120184","120184","655","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120185","120185","656","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120186","120186","676","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120187","120187","71","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120188","120188","761","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120189","120189","762","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120190","120190","763","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120191","120191","764","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120192","120192","800","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120193","120193","958","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120194","120194","châu","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120195","120195","chiến","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120196","120196","chu","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120197","120197","DÊ","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120198","120198","dinh","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120199","120199","Đôi","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120200","120200","Già","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120201","120201","h101","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120202","120202","h110","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120203","120203","h114","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120204","120204","h116","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120205","120205","h117","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120206","120206","h118","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120207","120207","h120","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120208","120208","h121","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120209","120209","h122","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120210","120210","h22","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120211","120211","h23","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120212","120212","h30","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120213","120213","h31","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120214","120214","h36","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120215","120215","h37","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120216","120216","h41","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120217","120217","h42","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120218","120218","h7","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120219","120219","Hạnh kíp","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120220","120220","HS004","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120221","120221","HS025","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120222","120222","HS078","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120223","120223","HS081","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120224","120224","k010","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120225","120225","k133","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120226","120226","k136","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120227","120227","k139","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120228","120228","k144","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120229","120229","k148","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120230","120230","k149","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120231","120231","k155","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120232","120232","k157","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120233","120233","k160","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120234","120234","k164","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120235","120235","k45","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120236","120236","k46","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
"120237","120237","k47","","Sản xuất","Công nhân","100.00","active","2026-07-22 08:37:00","2026-07-22 08:37:00"
